"shangpaishijian","licheng","biansu","zhouju","mali","tianchuang1","tianchuang2","zhenpizuoyi","daocheyingxiang","daocheleida","GPS","zhongdashigu","waiguan_neishi","yuanjia","baojia","ratio","SUV","紧凑型车","其他","小型车","中大型车","中型车","国四","国五","普通级轿车","微型轿车","中高级轿车","中级轿车","华晨宝马","其他.1","上汽大众","上汽集团","上汽通用别克","上汽通用雪佛兰","一汽.大众奥迪","长安福特"
22,4.13,"0",2737,186,"1","0","1","0","1","0","0","1",22.2,8.68,-0.443148541942559,"0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","1","0","0"
35,6.07,"0",2530,110,"1","0","0","0","1","0","0","1",13.9,5.5,-0.423483613610843,"1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1"
1,1.35,"0",2720,205,"0","0","0","0","0","0","0","0",30.4,16.5,0.171471540769889,"1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0"
40,1.9,"0",2648,125,"0","0","0","0","0","0","0","1",14.2,6,-0.312374685042152,"0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1"
41,5.86,"0",2640,165,"0","0","0","0","0","0","0","0",21.3,8,-0.508322493547872,"1","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0"
19,1.26,"0",2700,133,"1","0","0","1","1","1","0","0",10.5,7.99,1.15790800663449,"0","1","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0"
30,5.3,"0",2775,186,"1","0","1","1","1","0","0","0",24.9,13.8,0.217723483844871,"0","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","0","0","0","0"
44,7.93,"0",2707,167,"0","0","0","0","0","0","0","1",28.6,8.9,-0.794567359005849,"1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0"
47,8.47,"0",2500,109,"0","0","0","0","0","0","0","1",11.8,3.4,-0.904456274227152,"0","1","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0"
16,2.77,"0",2648,125,"0","0","0","1","0","1","0","0",14.2,6.59,-0.143909823359179,"0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1"
92,12.06,"0",2909,238,"1","0","1","1","1","1","0","0",74.7,10,-1.86717610851281,"0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0"
10,6.55,"0",2850,242,"1","0","0","1","1","1","1","0",26.4,13.12,-0.0121213605323448,"0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","1"
7,12.71,"0",2737,154,"1","0","1","0","1","0","0","0",20.3,8.54,-0.319942934670003,"0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0"
62,7.21,"0",2467,184,"1","1","1","0","1","0","0","0",39,11.7,-0.847297860387204,"0","0","0","1","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0"
26,2.07,"0",2685,184,"1","0","1","0","1","0","0","0",18.6,6.69,-0.576764509227072,"0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0"
23,6.96,"0",2775,150,"1","0","0","0","0","0","0","0",19.5,11.47,0.356550403182609,"0","0","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0"
21,9.02,"0",3088,258,"0","0","0","0","0","0","0","0",43.4,18.73,-0.275461414085268,"0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0"
52,3.79,"1",2610,106,"0","0","0","0","0","0","0","1",7,1.8,-1.06087196068526,"0","1","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0"
68,8.13,"1",2600,109,"0","0","0","0","1","0","0","0",11.6,3,-1.05314991459135,"0","1","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0"
2,6.66,"0",2637,150,"1","0","1","0","1","0","0","1",19.9,11.8,0.376235469793226,"0","1","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0"
17,4.16,"0",2530,110,"1","0","0","0","1","0","0","1",13.9,5.8,-0.33400614412602,"1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1"
22,7.02,"0",2678,131,"1","0","1","0","1","0","0","0",19.7,8.25,-0.327776529653659,"0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0"
59,2.79,"1",2610,105,"0","0","0","0","0","0","0","1",12.2,4.6,-0.502091943797236,"0","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0"
44,10.36,"0",2795,165,"1","0","1","0","1","0","0","0",20.6,7,-0.664159643686693,"0","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","0","0","0","0"
41,5.39,"0",2737,147,"1","0","1","0","1","0","0","0",22.1,7.69,-0.628001626493878,"0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","1","0","0","0"
