shangpaishijian,licheng,biansu,zhouju,pailiang,mali,tianchuang1,tianchuang2,zhenpizuoyi,daocheyingxiang,daocheleida,GPS,zhongdashigu,waiguan_neishi,yuanjia,baojia,paifang,changshang,cheshen_type
1,8.57,0,2760,2,224,1,1,1,1,1,1,1,0,21.9,11.62,国五,宝沃汽车,中型SUV
15,2.66,1,2555,1.4,140,0,0,0,1,0,0,0,0,11.9,4.7,国五,上汽通用雪佛兰,小型SUV
46,6.48,0,2651,1.8,160,0,0,0,0,0,0,0,0,20.2,7.5,国四,一汽-大众,紧凑型车
91,13.99,0,3028,2.5,218,0,0,0,0,0,0,0,0,61.2,9,国三,华晨宝马,中大型车
21,5.61,0,2890,2.4,170,1,0,1,1,1,1,0,0,31.7,11.2,国五,道奇(进口),中型SUV
110,5.67,1,2460,1.4,86,0,0,0,0,0,0,0,0,10.1,1.7,国三,上汽大众,小型车
47,8.84,0,2760,2,184,1,1,1,0,1,1,0,0,43.3,14.2,国四,华晨宝马,紧凑型SUV
1,3.08,0,2637,1.2,110,0,0,0,0,0,0,0,1,16.4,10,国五,一汽-大众,紧凑型车
14,5.21,0,2707,2.4,167,1,0,1,1,1,1,0,0,20.3,9.5,国五,上汽通用雪佛兰,中型SUV
44,13.68,0,2705,1.8,133,1,0,1,0,1,1,0,1,16.3,5.5,国四,上汽集团,紧凑型车
46,5.26,0,2685,1.8,147,1,0,0,0,1,0,0,0,14.9,4.69,国四,上汽通用雪佛兰,紧凑型车
67,4.21,0,2465,1.4,103,0,0,0,0,0,0,0,0,8.2,1.8,国四,上汽通用雪佛兰,小型车
23,0.85,0,2650,1.6,123,0,0,0,1,1,1,0,1,11.2,8.6,国五,东风悦达起亚,紧凑型车
14,11.77,0,2640,1.5,114,0,0,0,0,0,0,0,1,13,6,国五,上汽通用别克,紧凑型车
47,3.57,0,2710,2,147,0,0,0,1,0,1,0,0,16.9,4.38,国四,东风标致,紧凑型车
43,4.52,1,2610,1.5,120,1,0,1,0,1,0,0,0,8.7,2.7,国四,东南汽车,紧凑型车
61,4.22,0,2760,3.5,272,0,0,0,0,0,0,0,1,83.4,28,国四,奔驰(进口),中大型车
44,6.64,1,2465,1.4,103,1,0,0,0,0,0,0,1,7.5,1.8,国四,上汽通用雪佛兰,小型车
60,9.81,1,2640,1.8,124,0,0,0,0,0,0,0,1,11.4,2.8,国四,长安福特,紧凑型车
21,4.83,0,2920,2,184,1,0,1,0,1,0,0,0,38.9,18.5,国四,华晨宝马,中型车
44,21.45,0,2845,2.4,180,1,1,1,0,1,0,0,0,32.5,7.6,国四,起亚(进口),中型车
12,6.41,0,2750,2,260,1,1,1,1,1,1,0,0,32.6,16.32,国五,上汽通用别克,中型SUV
8,1.21,0,2737,1.5,170,0,0,0,0,0,0,0,1,19.5,10.38,国五,上汽通用雪佛兰,中型车
9,2.07,0,2670,2,190,0,1,1,1,1,1,0,1,16,8.8,国五,陆风汽车,紧凑型SUV
10,4.74,0,2850,2,245,1,1,1,1,1,1,0,0,34.7,20,国五,长安福特,中型SUV
3,2.26,0,2699,1.6,156,0,0,0,0,0,0,0,0,31.5,22.9,国五,北京奔驰,紧凑型SUV
16,4.48,0,2613,2,147,1,0,1,0,1,0,0,1,20.3,8,国五,东风标致,紧凑型SUV
3,5.09,0,2690,1.5,136,1,0,0,1,1,0,0,0,30,15.6,国五,宝马(进口),紧凑型车
15,2.2,0,2774,2,245,1,1,1,0,1,1,0,1,47.7,27.5,国五,沃尔沃亚太,中型SUV
116,14.11,1,2460,1.4,86,0,0,0,0,0,0,0,1,11.2,1.3,国三,上汽大众,小型车
2,3.55,0,2655,1.6,117,0,0,0,0,1,0,0,0,13.9,7.3,国五,东风雪铁龙,小型SUV
36,3.96,1,2640,1.8,124,0,0,0,0,0,0,1,1,10.8,4,国四,长安福特,紧凑型车
63,14.37,0,2660,2.4,170,1,0,1,0,0,1,0,0,28.7,8.53,国四,一汽丰田,紧凑型SUV
42,18.29,0,3013,3,245,1,1,1,1,1,1,0,1,96.2,29,国四,奥迪(进口),中大型SUV
23,0.51,0,2700,1.6,130,0,0,0,0,0,0,0,0,13,9.3,国五,北京现代,紧凑型车
33,11.49,0,2795,2.4,180,1,1,1,1,1,1,0,1,22.8,8,国五,北京现代,中型车
42,9.19,0,2678,1.4,131,0,0,0,0,0,0,0,0,19.4,6.5,国四,上汽大众,MPV
25,10.33,0,2850,2,203,0,0,0,0,0,0,0,1,22,10.5,国四,长安福特,中型车
131,11.78,0,2460,1.4,75,0,0,0,0,0,0,1,1,12.3,1.21,国三,上汽大众,小型车
12,7.88,0,2600,1.8,99,1,0,0,1,1,0,0,0,32,16.8,国四,雷克萨斯,紧凑型车
56,4.21,0,2795,2,165,1,1,1,1,1,1,0,1,25.3,8.5,国四,北京现代,中型车
59,6.22,0,2815,2.3,171,0,0,0,0,0,0,0,1,22.2,5.5,国四,东风雪铁龙,中型车
27,12.41,0,2807,3,271,1,1,1,1,1,1,0,1,51,20.8,国四,凯迪拉克(进口),中型SUV
0,3.09,0,3088,3,258,1,1,1,1,1,1,0,1,43.4,25,国五,上汽通用别克,MPV
28,5.72,0,2760,1.8,156,1,0,1,0,0,0,0,0,34.2,15.18,国四,北京奔驰,中型车
27,3.66,0,2699,2,211,1,1,1,1,1,1,0,0,38.9,20,国四,奔驰(进口),紧凑型车
46,5.35,0,2760,2,184,1,1,1,0,1,0,0,0,39.3,13.22,国四,华晨宝马,紧凑型SUV
7,4.68,0,2670,1.5,154,0,0,0,0,0,0,0,1,23.9,9.9,国五,比亚迪,紧凑型车
16,7.72,0,2705,1.5,109,1,0,1,1,1,1,0,0,28.2,9,国五,上汽集团,紧凑型车
45,14.37,0,2725,2,147,1,0,0,0,1,0,0,0,17.9,6.8,国四,一汽马自达,中型车
22,6.56,0,2968,2,184,1,0,1,0,1,0,0,1,49.6,25,国四,宝马(进口),中大型车
22,10.01,0,2670,1.5,154,0,0,0,0,0,0,0,0,22.8,7.5,国五,比亚迪,紧凑型车
15,5.18,0,2880,2.5,235,1,0,0,0,1,0,0,0,38,19.67,国五,东风英菲尼迪,中型SUV
27,0.37,0,2694,1.5,106,0,0,0,0,0,0,0,0,28.9,18.6,国五,上汽通用别克,紧凑型车
8,4.45,0,3165,3.5,306,1,1,1,1,1,1,0,1,162.6,80,国四,奔驰(进口),大型车
94,6.32,0,2600,1.6,109,0,0,0,0,0,0,0,0,13.8,3.5,国四,东风日产,紧凑型车
33,1.65,1,2610,1.6,105,0,0,0,0,0,0,0,0,11.7,4.74,国四,上汽大众,紧凑型车
24,11.39,0,3050,2.5,235,1,0,1,1,1,1,0,0,52,19,国四,英菲尼迪(进口),中大型车
21,6.27,0,2670,1.5,154,1,0,1,1,1,1,0,0,22.8,7.8,国五,比亚迪,紧凑型车
49,6.67,0,2760,2,152,1,0,1,0,1,1,0,0,42.2,12.56,国四,华晨宝马,中型车
17,4.08,0,2670,1.5,154,1,0,1,1,1,1,0,0,22.8,8.55,国五,比亚迪,紧凑型车
4,1.39,0,2760,2,156,1,1,0,1,1,1,0,1,34.6,18.5,国五,华晨宝马,紧凑型SUV
37,2.94,0,2603,2,170,0,0,0,0,0,0,0,0,30.9,15.5,国四,一汽-大众奥迪,紧凑型SUV
